"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"1160",1160,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,104,118,241,3,12,6,3,12,231,7,24,3,39,6,1116,3,15,NA,254,1,NA,NA,0.047,0.054,0.11,0.001,0.005,0.003,0.001,0.005,0.105,0.003,0.011,0.001,0.018,0.003,0.508,0.001,0.007,NA,0.116,0
"1161",1161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,47,145,3,63,616,10,107,3,41,30,359,2,289,74,10,5,2696,10,12,9,531,NA,0.009,0.029,0.001,0.012,0.122,0.002,0.021,0.001,0.008,0.006,0.071,0,0.057,0.015,0.002,0.001,0.533,0.002,0.002,0.002,0.105,NA
"1162",1162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,11,196,73,1,38,5,22,44,365,3,31,75,6,7,1137,26,7,10,395,NA,0.001,0,0.004,0.08,0.03,0,0.015,0.002,0.009,0.018,0.149,0.001,0.013,0.031,0.002,0.003,0.463,0.011,0.003,0.004,0.161,NA
"1163",1163,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,3,48,127,63,NA,35,3,860,211,1101,1,117,21,111,121,1573,21,25,271,1072,NA,0.001,0.001,0.008,0.022,0.011,NA,0.006,0.001,0.149,0.036,0.19,0,0.02,0.004,0.019,0.021,0.272,0.004,0.004,0.047,0.185,NA
"1164",1164,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,42,225,4,180,NA,5,11,1019,1,52,33,6,24,1781,18,29,12,138,1,0.001,0,0.001,0.012,0.063,0.001,0.05,NA,0.001,0.003,0.284,0,0.014,0.009,0.002,0.007,0.496,0.005,0.008,0.003,0.038,0
"1165",1165,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,12,5,NA,28,763,1,3,NA,4,2,693,NA,49,2,84,5,1045,19,1,5,259,NA,0.004,0.002,NA,0.009,0.256,0,0.001,NA,0.001,0.001,0.233,NA,0.016,0.001,0.028,0.002,0.351,0.006,0,0.002,0.087,NA
"1166",1166,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,6,794,NA,30,700,1,53,1,8,7,95,NA,41,NA,3,6,2055,1,4,11,214,NA,0.001,0.197,NA,0.007,0.174,0,0.013,0,0.002,0.002,0.024,NA,0.01,NA,0.001,0.001,0.51,0,0.001,0.003,0.053,NA
"1167",1167,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,122,5,94,1491,NA,23,NA,7,45,1210,52,437,8,16,3,2949,21,22,8,548,NA,0.002,0.017,0.001,0.013,0.211,NA,0.003,NA,0.001,0.006,0.171,0.007,0.062,0.001,0.002,0,0.417,0.003,0.003,0.001,0.077,NA
"1168",1168,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,NA,32,957,NA,31,NA,5,98,284,2,165,2,35,4,1684,67,12,16,185,2,0,0.001,NA,0.009,0.267,NA,0.009,NA,0.001,0.027,0.079,0.001,0.046,0.001,0.01,0.001,0.47,0.019,0.003,0.004,0.052,0.001
"1169",1169,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,3,43,13,1062,NA,115,1,6,8,76,3,437,2,27,2,2768,1,4,NA,1524,NA,0,0,0.007,0.002,0.174,NA,0.019,0,0.001,0.001,0.012,0,0.072,0,0.004,0,0.454,0,0.001,NA,0.25,NA
"1170",1170,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,NA,13,395,NA,1,NA,15,2,335,171,25,1,1,5,1136,1,49,11,148,NA,0.001,0.001,NA,0.006,0.171,NA,0,NA,0.006,0.001,0.145,0.074,0.011,0,0,0.002,0.491,0,0.021,0.005,0.064,NA
"1171",1171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,49,58,1368,7,18,2,155,17,858,21,53,12,21,9,2880,7,22,17,392,NA,0,0,0.008,0.01,0.229,0.001,0.003,0,0.026,0.003,0.144,0.004,0.009,0.002,0.004,0.002,0.482,0.001,0.004,0.003,0.066,NA
"1172",1172,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,8,NA,396,1148,NA,33,NA,8,5,147,NA,6,NA,6,1,1353,6,9,11,105,NA,0.001,0.002,NA,0.122,0.354,NA,0.01,NA,0.002,0.002,0.045,NA,0.002,NA,0.002,0,0.417,0.002,0.003,0.003,0.032,NA
"1173",1173,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,541,1431,NA,49,NA,NA,43,296,2,97,NA,3,5,2857,1,11,NA,667,NA,0,0,0,0.09,0.238,NA,0.008,NA,NA,0.007,0.049,0,0.016,NA,0,0.001,0.476,0,0.002,NA,0.111,NA
"1174",1174,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,4,14,426,4,18,NA,9,82,628,1,55,124,32,2,1612,42,18,2,271,NA,0.001,0.001,0.001,0.004,0.127,0.001,0.005,NA,0.003,0.024,0.188,0,0.016,0.037,0.01,0.001,0.481,0.013,0.005,0.001,0.081,NA
"1175",1175,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,632,1766,NA,23,5,25,30,245,12,333,601,19,3,7057,7,28,11,671,1,0.001,0.001,0,0.055,0.154,NA,0.002,0,0.002,0.003,0.021,0.001,0.029,0.052,0.002,0,0.615,0.001,0.002,0.001,0.058,0
"1176",1176,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,NA,NA,1,6,52,NA,2,1,6,NA,47,1,5,7,2,NA,405,NA,NA,10,74,NA,NA,NA,0.002,0.01,0.084,NA,0.003,0.002,0.01,NA,0.076,0.002,0.008,0.011,0.003,NA,0.654,NA,NA,0.016,0.12,NA
"1177",1177,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,2,5,2,53,18,NA,10,NA,1,250,50,NA,16,NA,1,1,582,8,27,NA,73,NA,0.002,0.005,0.002,0.048,0.016,NA,0.009,NA,0.001,0.227,0.045,NA,0.015,NA,0.001,0.001,0.53,0.007,0.025,NA,0.066,NA
"1178",1178,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,1,208,711,NA,38,4,94,19,143,3,165,15,15,5,1368,10,18,21,216,NA,0,0.001,0,0.068,0.232,NA,0.012,0.001,0.031,0.006,0.047,0.001,0.054,0.005,0.005,0.002,0.447,0.003,0.006,0.007,0.071,NA
"1179",1179,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,8,6,73,203,1,212,1,43,3,62,3,114,1,7,2,1394,36,14,8,633,1,NA,0.003,0.002,0.026,0.072,0,0.075,0,0.015,0.001,0.022,0.001,0.04,0,0.002,0.001,0.493,0.013,0.005,0.003,0.224,0
"1180",1180,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,131,129,NA,28,7,7,66,243,1,5,2,15,21,2455,318,8,14,149,NA,0.001,NA,NA,0.036,0.036,NA,0.008,0.002,0.002,0.018,0.067,0,0.001,0.001,0.004,0.006,0.682,0.088,0.002,0.004,0.041,NA
"1181",1181,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,6,NA,215,1046,NA,16,3,19,4,881,1,114,5,10,16,3571,13,91,16,301,NA,0.001,0.001,NA,0.034,0.165,NA,0.003,0,0.003,0.001,0.139,0,0.018,0.001,0.002,0.003,0.564,0.002,0.014,0.003,0.048,NA
"1182",1182,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,4,697,548,NA,138,1,10,8,1844,9,32,1,37,5,2477,21,51,27,404,NA,0,0.001,0.001,0.11,0.087,NA,0.022,0,0.002,0.001,0.292,0.001,0.005,0,0.006,0.001,0.392,0.003,0.008,0.004,0.064,NA
"1183",1183,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,11,NA,12,41,142,2,32,NA,4,6,308,NA,43,6,9,1,674,8,4,4,81,2,0.008,NA,0.009,0.029,0.102,0.001,0.023,NA,0.003,0.004,0.222,NA,0.031,0.004,0.006,0.001,0.485,0.006,0.003,0.003,0.058,0.001
"1184",1184,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,16,NA,1,31,264,NA,92,1,3,5,439,NA,12,2,15,4,1827,16,16,7,280,1,0.005,NA,0,0.01,0.087,NA,0.03,0,0.001,0.002,0.145,NA,0.004,0.001,0.005,0.001,0.603,0.005,0.005,0.002,0.092,0
"1185",1185,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,6,3,150,1114,NA,14,1,33,11,26,1,117,1,48,2,1806,3,24,6,1300,NA,0.002,0.001,0.001,0.032,0.238,NA,0.003,0,0.007,0.002,0.006,0,0.025,0,0.01,0,0.386,0.001,0.005,0.001,0.278,NA
"1186",1186,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,97,NA,17,264,NA,2,NA,NA,3,80,16,45,2,3,NA,1126,32,3,NA,257,NA,0.001,0.05,NA,0.009,0.136,NA,0.001,NA,NA,0.002,0.041,0.008,0.023,0.001,0.002,NA,0.578,0.016,0.002,NA,0.132,NA
"1187",1187,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,NA,1,86,NA,80,NA,2,NA,NA,NA,25,NA,1,NA,2,NA,926,2,7,NA,137,NA,NA,0.001,0.068,NA,0.063,NA,0.002,NA,NA,NA,0.02,NA,0.001,NA,0.002,NA,0.73,0.002,0.006,NA,0.108,NA
"1188",1188,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,NA,7,NA,7,677,NA,8,2,9,1,55,NA,13,NA,4,NA,918,22,8,3,184,NA,NA,0.004,NA,0.004,0.353,NA,0.004,0.001,0.005,0.001,0.029,NA,0.007,NA,0.002,NA,0.479,0.011,0.004,0.002,0.096,NA
"1189",1189,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,12,5,20,741,2006,NA,37,7,7,9,100,NA,40,NA,11,2,3743,1,22,14,393,NA,0.002,0.001,0.003,0.103,0.28,NA,0.005,0.001,0.001,0.001,0.014,NA,0.006,NA,0.002,0,0.522,0,0.003,0.002,0.055,NA
"1190",1190,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,NA,1,13,8,NA,12,NA,7,2,2616,NA,6,NA,3,58,1383,247,3,NA,21,NA,0,NA,0,0.003,0.002,NA,0.003,NA,0.002,0,0.597,NA,0.001,NA,0.001,0.013,0.316,0.056,0.001,NA,0.005,NA
"1191",1191,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,22,12,41,119,687,1,42,2,17,22,771,NA,224,26,29,17,2480,9,21,2,1199,1,0.004,0.002,0.007,0.021,0.12,0,0.007,0,0.003,0.004,0.134,NA,0.039,0.005,0.005,0.003,0.432,0.002,0.004,0,0.209,0
"1192",1192,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,NA,2,NA,3,237,38,NA,NA,2,NA,10,NA,16,2,2,1,746,2,3,10,82,NA,NA,0.002,NA,0.003,0.205,0.033,NA,NA,0.002,NA,0.009,NA,0.014,0.002,0.002,0.001,0.645,0.002,0.003,0.009,0.071,NA
"1193",1193,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,NA,163,1,11,56,NA,1,17,NA,NA,10,NA,16,2,2,2,787,2,3,NA,510,NA,NA,0.103,0.001,0.007,0.035,NA,0.001,0.011,NA,NA,0.006,NA,0.01,0.001,0.001,0.001,0.497,0.001,0.002,NA,0.322,NA
"1194",1194,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,12,11,5,30,471,NA,39,1,3,12,48,7,168,1,13,NA,1257,48,8,3,58,NA,0.005,0.005,0.002,0.014,0.215,NA,0.018,0,0.001,0.005,0.022,0.003,0.077,0,0.006,NA,0.573,0.022,0.004,0.001,0.026,NA
"1195",1195,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,3,1,59,163,657,NA,25,NA,16,21,392,NA,73,9,12,13,2897,212,75,5,398,NA,0.001,0,0.012,0.032,0.131,NA,0.005,NA,0.003,0.004,0.078,NA,0.015,0.002,0.002,0.003,0.576,0.042,0.015,0.001,0.079,NA
"1196",1196,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,1,158,409,1,1,90,18,NA,17,NA,16,6,5,1,758,2,19,4,240,NA,NA,NA,0.001,0.09,0.234,0.001,0.001,0.052,0.01,NA,0.01,NA,0.009,0.003,0.003,0.001,0.434,0.001,0.011,0.002,0.137,NA
"1197",1197,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2,NA,13,54,36,NA,11,2,10,1,45,NA,NA,4,46,NA,834,5,5,2,98,NA,0.002,NA,0.011,0.046,0.031,NA,0.009,0.002,0.009,0.001,0.039,NA,NA,0.003,0.039,NA,0.714,0.004,0.004,0.002,0.084,NA
"1198",1198,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,18,1,15,316,NA,27,1,14,4,291,2,118,1,16,11,1188,13,5,18,290,NA,NA,0.008,0,0.006,0.135,NA,0.011,0,0.006,0.002,0.124,0.001,0.05,0,0.007,0.005,0.506,0.006,0.002,0.008,0.123,NA
"1199",1199,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,8,NA,392,193,3,45,2,91,56,1052,NA,34,3,44,56,2869,18,66,25,811,19,0.002,0.001,NA,0.068,0.033,0.001,0.008,0,0.016,0.01,0.182,NA,0.006,0.001,0.008,0.01,0.495,0.003,0.011,0.004,0.14,0.003
"1200",1200,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,12,326,407,NA,12,1,11,4,364,NA,8,1,5,7,1838,1,20,2,190,NA,0.001,0,0.004,0.101,0.127,NA,0.004,0,0.003,0.001,0.113,NA,0.002,0,0.002,0.002,0.572,0,0.006,0.001,0.059,NA
"1201",1201,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,2,198,159,NA,42,NA,12,33,791,NA,46,2,4,10,2149,25,98,6,499,1,0,0.004,0,0.048,0.039,NA,0.01,NA,0.003,0.008,0.193,NA,0.011,0,0.001,0.002,0.525,0.006,0.024,0.001,0.122,0
"1202",1202,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,NA,20,31,58,69,NA,NA,NA,NA,1,43,NA,7,NA,5,NA,545,7,4,NA,174,NA,NA,0.021,0.032,0.06,0.072,NA,NA,NA,NA,0.001,0.045,NA,0.007,NA,0.005,NA,0.565,0.007,0.004,NA,0.18,NA
"1203",1203,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,NA,198,170,4,33,NA,2,1,4,7,40,4,239,NA,1,1,1354,40,5,NA,212,NA,NA,0.086,0.073,0.002,0.014,NA,0.001,0,0.002,0.003,0.017,0.002,0.103,NA,0,0,0.585,0.017,0.002,NA,0.092,NA
"1204",1204,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,3,NA,NA,14,918,NA,9,1,2,1,169,NA,4,2,2,NA,459,NA,1,4,48,NA,0.002,NA,NA,0.009,0.561,NA,0.005,0.001,0.001,0.001,0.103,NA,0.002,0.001,0.001,NA,0.28,NA,0.001,0.002,0.029,NA
"1205",1205,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,6,24,487,9,54,1,5,18,3374,NA,103,17,10,46,2955,8,17,8,225,NA,0,0,0.001,0.003,0.066,0.001,0.007,0,0.001,0.002,0.458,NA,0.014,0.002,0.001,0.006,0.401,0.001,0.002,0.001,0.031,NA
"1206",1206,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,218,89,43,879,NA,21,NA,34,13,693,2,93,16,94,3,1844,5,86,NA,350,NA,0,0.049,0.02,0.01,0.196,NA,0.005,NA,0.008,0.003,0.155,0,0.021,0.004,0.021,0.001,0.411,0.001,0.019,NA,0.078,NA
"1207",1207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,44,20,20,210,3438,2,555,46,16,28,1819,4,225,10,20,33,5549,22,21,10,1580,NA,0.003,0.001,0.001,0.015,0.251,0,0.041,0.003,0.001,0.002,0.133,0,0.016,0.001,0.001,0.002,0.406,0.002,0.002,0.001,0.116,NA
"1208",1208,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,NA,2,33,NA,384,1,NA,NA,2,16,97,NA,83,NA,353,NA,1818,6,14,5,339,1,NA,0.001,0.01,NA,0.122,0,NA,NA,0.001,0.005,0.031,NA,0.026,NA,0.112,NA,0.576,0.002,0.004,0.002,0.107,0
"1209",1209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,69,4,1,1,953,4,24,4,5,29,1133,1,48,21,3,5,2865,3,7,5,1661,NA,0.01,0.001,0,0,0.139,0.001,0.004,0.001,0.001,0.004,0.165,0,0.007,0.003,0,0.001,0.418,0,0.001,0.001,0.243,NA
"1210",1210,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,4,2,7,96,134,NA,30,4,349,155,1810,NA,6,NA,83,61,623,79,NA,429,248,NA,0.001,0,0.002,0.023,0.033,NA,0.007,0.001,0.085,0.038,0.439,NA,0.001,NA,0.02,0.015,0.151,0.019,NA,0.104,0.06,NA
"1211",1211,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,86,2,19,730,NA,7,NA,6,3,317,4,255,14,15,NA,1388,2,11,7,110,1,0,0.029,0.001,0.006,0.245,NA,0.002,NA,0.002,0.001,0.106,0.001,0.086,0.005,0.005,NA,0.466,0.001,0.004,0.002,0.037,0
"1212",1212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,6,2,43,919,2,13,1,22,19,302,5,66,18,8,5,3046,7,7,2,1414,NA,0.015,0.001,0,0.007,0.153,0,0.002,0,0.004,0.003,0.05,0.001,0.011,0.003,0.001,0.001,0.508,0.001,0.001,0,0.236,NA
"1213",1213,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,71,466,NA,80,NA,36,14,88,NA,44,1,10,3,1317,29,21,3,268,1,0,0.002,0.002,0.029,0.189,NA,0.032,NA,0.015,0.006,0.036,NA,0.018,0,0.004,0.001,0.535,0.012,0.009,0.001,0.109,0
"1214",1214,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,77,14,424,751,14,207,1,37,43,447,4,49,16,7,39,1401,27,10,4,326,NA,NA,0.02,0.004,0.109,0.193,0.004,0.053,0,0.009,0.011,0.115,0.001,0.013,0.004,0.002,0.01,0.359,0.007,0.003,0.001,0.084,NA
"1215",1215,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,4,21,8,466,3,41,12,1,NA,36,NA,44,4,28,NA,1502,1,2,2,1067,NA,0,0.001,0.006,0.002,0.144,0.001,0.013,0.004,0,NA,0.011,NA,0.014,0.001,0.009,NA,0.463,0,0.001,0.001,0.329,NA
"1216",1216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,40,44,120,776,1,94,7,9,39,515,2,88,35,59,8,3440,36,51,43,922,2,0.001,0.006,0.007,0.019,0.122,0,0.015,0.001,0.001,0.006,0.081,0,0.014,0.006,0.009,0.001,0.543,0.006,0.008,0.007,0.146,0
"1217",1217,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,15,37,115,624,3,59,1,4,49,1019,NA,163,18,36,6,1351,25,25,11,311,NA,0.001,0.004,0.01,0.03,0.161,0.001,0.015,0,0.001,0.013,0.263,NA,0.042,0.005,0.009,0.002,0.349,0.006,0.006,0.003,0.08,NA
"1218",1218,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,173,32,230,3,265,NA,4,8,62,4,282,3,11,2,1203,8,16,2,400,NA,0.001,0,0.064,0.012,0.085,0.001,0.098,NA,0.001,0.003,0.023,0.001,0.104,0.001,0.004,0.001,0.444,0.003,0.006,0.001,0.147,NA
"1219",1219,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,15,32,5,75,385,1,38,5,28,12,119,NA,284,3,11,2,1506,27,12,5,638,NA,0.005,0.01,0.002,0.023,0.12,0,0.012,0.002,0.009,0.004,0.037,NA,0.089,0.001,0.003,0.001,0.47,0.008,0.004,0.002,0.199,NA
"1220",1220,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,NA,2,100,29,NA,NA,NA,NA,1,66,NA,16,21,NA,3,1130,6,16,2,307,NA,0.001,NA,0.001,0.059,0.017,NA,NA,NA,NA,0.001,0.039,NA,0.009,0.012,NA,0.002,0.665,0.004,0.009,0.001,0.181,NA
"1221",1221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,9,2,76,920,1,21,2,25,18,373,5,60,9,10,26,2837,4,27,24,507,NA,0.001,0.002,0,0.015,0.185,0,0.004,0,0.005,0.004,0.075,0.001,0.012,0.002,0.002,0.005,0.572,0.001,0.005,0.005,0.102,NA
"1222",1222,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,9,NA,3,75,1908,NA,28,3,6,1,14,1,21,2,27,NA,5884,36,28,3,5269,4,0.001,NA,0,0.006,0.143,NA,0.002,0,0,0,0.001,0,0.002,0,0.002,NA,0.442,0.003,0.002,0,0.396,0
"1223",1223,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,2,6,1,93,140,NA,3,NA,3,16,193,NA,20,NA,28,4,590,3,62,6,141,NA,0.002,0.005,0.001,0.071,0.107,NA,0.002,NA,0.002,0.012,0.147,NA,0.015,NA,0.021,0.003,0.45,0.002,0.047,0.005,0.108,NA
"1224",1224,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,46,2,105,317,NA,152,4,15,19,435,1,45,3,7,4,1162,14,4,16,396,1,0.002,0.017,0.001,0.038,0.115,NA,0.055,0.001,0.005,0.007,0.158,0,0.016,0.001,0.003,0.001,0.422,0.005,0.001,0.006,0.144,0
"1225",1225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,9,6,80,801,1,67,2,91,12,714,3,44,10,5,8,2779,69,7,29,580,NA,0.001,0.002,0.001,0.015,0.151,0,0.013,0,0.017,0.002,0.134,0.001,0.008,0.002,0.001,0.002,0.522,0.013,0.001,0.005,0.109,NA
"1226",1226,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,69,8,595,NA,NA,NA,21,19,600,6,100,1,336,6,2855,8,20,23,233,NA,NA,0,0.014,0.002,0.121,NA,NA,NA,0.004,0.004,0.122,0.001,0.02,0,0.069,0.001,0.583,0.002,0.004,0.005,0.048,NA
"1227",1227,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,4,NA,NA,8,358,1,11,NA,NA,3,1026,NA,2,1,1,208,1933,NA,46,NA,101,NA,0.001,NA,NA,0.002,0.097,0,0.003,NA,NA,0.001,0.277,NA,0.001,0,0,0.056,0.522,NA,0.012,NA,0.027,NA
"1228",1228,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,12,NA,2,11,102,1,55,1,10,10,291,NA,227,8,8,1,1873,9,20,2,290,NA,0.004,NA,0.001,0.004,0.035,0,0.019,0,0.003,0.003,0.099,NA,0.077,0.003,0.003,0,0.639,0.003,0.007,0.001,0.099,NA
"1229",1229,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,835,NA,24,378,1,7,1,12,3,103,10,53,11,2,8,1365,2,17,3,216,NA,NA,0.274,NA,0.008,0.124,0,0.002,0,0.004,0.001,0.034,0.003,0.017,0.004,0.001,0.003,0.447,0.001,0.006,0.001,0.071,NA
"1230",1230,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,5,NA,73,71,577,NA,14,10,4,5,96,NA,13,50,48,12,1695,3,24,2,389,NA,0.002,NA,0.024,0.023,0.187,NA,0.005,0.003,0.001,0.002,0.031,NA,0.004,0.016,0.016,0.004,0.548,0.001,0.008,0.001,0.126,NA
"1231",1231,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,35,20,38,230,2,83,NA,38,47,2446,2,86,9,9,49,3460,112,10,7,531,NA,0.002,0.005,0.003,0.005,0.032,0,0.011,NA,0.005,0.007,0.338,0,0.012,0.001,0.001,0.007,0.479,0.015,0.001,0.001,0.073,NA
"1232",1232,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,12,363,418,NA,188,3,12,9,460,1,31,1,14,25,2483,21,73,7,590,NA,0,0,0.003,0.077,0.089,NA,0.04,0.001,0.003,0.002,0.098,0,0.007,0,0.003,0.005,0.527,0.004,0.015,0.001,0.125,NA
"1233",1233,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,3,2,5,29,62,NA,120,4,10,41,553,NA,110,4,15,14,1481,27,8,61,152,NA,0.001,0.001,0.002,0.011,0.023,NA,0.044,0.001,0.004,0.015,0.205,NA,0.041,0.001,0.006,0.005,0.548,0.01,0.003,0.023,0.056,NA
