"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"2157",2157,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,179,2,121,1463,NA,33,5,6,17,779,8,148,4,3,11,1618,15,2,11,237,1,0.004,0.038,0,0.026,0.313,NA,0.007,0.001,0.001,0.004,0.166,0.002,0.032,0.001,0.001,0.002,0.346,0.003,0,0.002,0.051,0
"2158",2158,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,NA,4,99,229,NA,27,2,7,4,643,1,28,2,11,16,1501,3,11,13,470,NA,0.001,NA,0.001,0.032,0.074,NA,0.009,0.001,0.002,0.001,0.209,0,0.009,0.001,0.004,0.005,0.488,0.001,0.004,0.004,0.153,NA
"2159",2159,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,9,2,17,55,NA,1,1,NA,1,34,NA,19,NA,37,10,710,4,7,2,286,NA,NA,0.008,0.002,0.014,0.046,NA,0.001,0.001,NA,0.001,0.028,NA,0.016,NA,0.031,0.008,0.594,0.003,0.006,0.002,0.239,NA
"2160",2160,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,22,20,11,44,936,NA,33,2,17,11,1126,1,65,NA,39,38,2433,9,12,10,971,14,0.004,0.003,0.002,0.008,0.161,NA,0.006,0,0.003,0.002,0.194,0,0.011,NA,0.007,0.007,0.418,0.002,0.002,0.002,0.167,0.002
"2161",2161,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,NA,1,NA,NA,121,NA,1,1,NA,NA,13,NA,38,NA,6,NA,869,1,2,NA,45,NA,NA,0.001,NA,NA,0.11,NA,0.001,0.001,NA,NA,0.012,NA,0.035,NA,0.005,NA,0.791,0.001,0.002,NA,0.041,NA
"2162",2162,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,9,39,NA,143,405,NA,144,1,NA,40,39,1,19,1,NA,3,2372,6,13,NA,65,NA,0.003,0.012,NA,0.043,0.123,NA,0.044,0,NA,0.012,0.012,0,0.006,0,NA,0.001,0.719,0.002,0.004,NA,0.02,NA
"2163",2163,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,136,11,19,318,NA,107,1,5,8,673,4,20,7,4,8,2471,63,11,10,689,NA,0.001,0.03,0.002,0.004,0.07,NA,0.023,0,0.001,0.002,0.147,0.001,0.004,0.002,0.001,0.002,0.541,0.014,0.002,0.002,0.151,NA
"2164",2164,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,40,NA,1,167,65,NA,26,1,10,9,207,NA,15,3,1,2,530,13,21,3,162,NA,0.031,NA,0.001,0.131,0.051,NA,0.02,0.001,0.008,0.007,0.162,NA,0.012,0.002,0.001,0.002,0.415,0.01,0.016,0.002,0.127,NA
"2165",2165,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,307,NA,7,60,1237,NA,13,52,36,11,79,NA,86,18,99,5,1496,4,13,6,381,2,0.078,NA,0.002,0.015,0.316,NA,0.003,0.013,0.009,0.003,0.02,NA,0.022,0.005,0.025,0.001,0.382,0.001,0.003,0.002,0.097,0.001
"2166",2166,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,134,NA,28,55,NA,2,NA,4,7,904,1,14,37,NA,9,701,4,3,14,248,NA,NA,0.062,NA,0.013,0.025,NA,0.001,NA,0.002,0.003,0.418,0,0.006,0.017,NA,0.004,0.324,0.002,0.001,0.006,0.115,NA
