"","Overall"
"month_pat34월",0
"month_pat35월",0
"month_pat36월",0
"month_pat37월",0
"month_pat38월",0
"month_pat39월",0
"month_pat3유형없음",0
"cons_time0",0
"cons_time5",0
"cons_time12",0
"cons_time13",0
"cons_time18",0
"cons_time22",0
"cons_time0_ratio",0
"cons_time5_ratio",0
"cons_time9_ratio",0
"cons_time12_ratio",0
"cons_time13_ratio",0
"time5_z",0
"time8_z",0
"time9_z",0
"time12_z",0
"time13_z",0
"time22_z",0
"time_pat1새벽",0
"time_pat1아침",0
"time_pat1오전",0
"time_pat1오후",0
"time_pat1유형없음",0
"time_pat1저녁",0
"time_pat1점심",0
"time_pat1출근",0
"cons_num0",0
"cons_num5",0
"cons_num12",0
"cons_num13",0
"cons_num18",0
"cons_num22",0
"cons_num0_ratio",0
"cons_num8_ratio",0
"cons_num12_ratio",0
"cons_num18_ratio",0
"cons_num22_ratio",0
"time0_z2",0
"time5_z2",0
"time9_z2",0
"time12_z2",0
"time13_z2",0
"time18_z2",0
"time22_z2",0
"time_pat2새벽",0
"time_pat2아침",0
"time_pat2오전",0
"time_pat2오후",0
"time_pat2유형없음",0
"time_pat2저녁",0
"time_pat2점심",0
"time_pat2출근",0
"cons_cnt0",0
"cons_cnt5",0
"cons_cnt8",0
"cons_cnt13",0
"cons_cnt18",0
"cons_cnt0_ratio",0
"cons_cnt5_ratio",0
"cons_cnt9_ratio",0
"cons_cnt12_ratio",0
"cons_cnt22_ratio",0
"time0_z3",0
"time5_z3",0
"time9_z3",0
"time12_z3",0
"time13_z3",0
"time18_z3",0
"time22_z3",0
"time_pat3새벽",0
"time_pat3아침",0
"time_pat3오전",0
"time_pat3오후",0
"time_pat3유형없음",0
"time_pat3저녁",0
"time_pat3점심",0
"time_pat3출근",0
"cons_time8_wk",0
"cons_time13_wk",0
"cons_time18_wk",0
"cons_time9_ratio_wk",0
"cons_time13_ratio_wk",0
"cons_time18_ratio_wk",0
"cons_time22_ratio_wk",0
"time0_z_wk",0
"time5_z_wk",0
"time8_z_wk",0
"time9_z_wk",0
"time13_z_wk",0
"time18_z_wk",0
"time22_z_wk",0
"time_pat_wk새벽",0
"time_pat_wk아침",0
"time_pat_wk오전",0
"time_pat_wk오후",0
"time_pat_wk유형없음",0
"time_pat_wk저녁",0
"time_pat_wk점심",0
"time_pat_wk출근",0
"cons_num5_wk",0
"cons_num9_wk",0
"cons_num13_wk",0
"cons_num22_wk",0
