,Overall
cons_cnt9_ratio,1.5586199307
time22_z3_we,1.5577689931
jul_z3,1.5427243748
jun_day,1.5417997254
apr_ratio,1.5413451429
cons_time18_ratio,1.5361845463
time9_z2_wk,1.5320789975
may_ratio2,1.5288807731
cons_cnt22_wk,1.5284327356
time13_z2,1.5268051695
time22_z_we,1.5229041925
cons_num9_wk,1.5152587006
sun_day,1.5152071564
time9_z3,1.5130051882
time18_z3_wk,1.5122504205
jul_ratio3,1.5101196095
cons_num8_ratio_we,1.507950372
cons_cnt8_wk,1.5070039692
aug_z3,1.5032396835
cons_time18_ratio_we,1.4922362718
apr_z3,1.4906502048
횟수_사회.문화.종교,1.4836262884
satur_ratio,1.4821372216
cons_num8_ratio,1.4810391691
sum_cnt,1.4805561106
cons_cnt5_we,1.4770367827
time8_z,1.4745739897
cons_cnt13_ratio_wk,1.4723199509
time8_z2,1.4622520396
cons_num18_ratio,1.4587616939
time13_z3_wk,1.4540537907
time9_z2,1.4508896496
cons_cnt13_wk,1.4459675702
cons_num0,1.4409047172
time8_z3,1.4384842569
aug_z,1.4375670186
satur_ratio3,1.4375198109
time8_z3_wk,1.4364582662
time8_z3_we,1.4293260603
time5_z,1.4290078533
time9_z3_wk,1.4231151158
cons_time9_ratio,1.4230789325
cons_time12,1.4227323233
time0_z_we,1.4219719925
cons_cnt18_ratio,1.4194454698
time12_z2,1.4123263815
sun_time,1.39053725
thurs_time,1.3900368877
cons_cnt8_ratio_we,1.3865477842
time18_z,1.3645197761
wk_time,1.3615046942
time8_z2_wk,1.3584719401
cons_cnt0,1.3522583939
cons_num8_ratio_wk,1.3520608714
wk_cnt,1.3390882678
sun_ratio3,1.3354092481
cons_num5,1.3325624493
cons_cnt18_ratio_wk,1.3325347908
time18_z3,1.3316305335
cons_cnt5_ratio_we,1.3303449397
cons_num12_wk,1.328914728
cons_cnt22,1.3259967284
time5_z3_we,1.3185170092
time13_z3,1.3182469591
cons_cnt22_ratio_we,1.3124062495
cons_num0_ratio_we,1.3076039421
cons_cnt0_we,1.3027790294
cons_cnt13_ratio,1.2992711205
time22_z2,1.2973297027
time5_z2_we,1.2952455468
cons_time0_we,1.288590501
횟수비율_문학.예술,1.285492662
cons_time22_ratio_we,1.2785736881
cons_time22,1.2759752965
cons_num9_ratio_wk,1.2698442119
we_z2,1.2643326566
cons_time5_we,1.262957706
sum_time,1.2610001537
wk_ratio1,1.2553703048
sun_z3,1.2492245612
time22_z2_we,1.245934702
cons_num8_we,1.2441006535
