,Overall
cons_time8_ratio_wk,4.2872332003
cons_num5,4.2773608594
sun_ratio,4.2664473104
sum_time,4.2544052845
cons_time5_we,4.2375020181
cons_time0_ratio_we,4.2357142448
cons_time5_ratio_wk,4.1732138903
cons_time22_ratio_we,4.1587801869
cons_cnt22_we,4.1513165957
cons_cnt5_we,4.1366088049
cons_time0_wk,4.1273511801
time5_z3_wk,4.1186505965
time5_z2_we,4.1031788596
sun_z,4.090377606
sun_ratio3,4.086550882
cons_time5_ratio,4.0635246169
cons_cnt22_ratio_we,4.0235859102
cons_num0_wk,4.0178164746
cons_cnt5_ratio,4.0065116373
cons_cnt0,3.99705376
time5_z3,3.9923423504
cons_num22,3.9304498474
cons_cnt0_we,3.9216361255
cons_num22_ratio_wk,3.9145338979
time22_z_wk,3.8993002359
time5_z_wk,3.8909280857
cons_num0_we,3.89000365
cons_time22_ratio,3.8559091407
cons_cnt0_wk,3.8504606952
cons_cnt22_ratio,3.8080473504
cons_time0,3.7766074551
we_z2,3.7270183891
time22_z,3.7244323103
sun_z3,3.6940121594
cons_cnt5_ratio_wk,3.6929116918
time5_z,3.6897189463
횟수_문학.예술,3.6315687541
wk_time,3.5949433638
we_ratio3,3.5890081637
cons_num0,3.5886302425
cons_num5_ratio_wk,3.5480814425
time22_z3_wk,3.538248082
cons_time5_ratio_we,3.5347416062
we_z,3.5294396419
time5_z2_wk,3.5134240874
cons_num22_ratio,3.4866858578
cons_num22_ratio_we,3.4821925131
sun_day,3.4459458765
we_ratio1,3.4428816735
cons_num22_we,3.3977142218
wk_ratio1,3.3926216141
v_pr_median,3.3707436489
cons_time22_ratio_wk,3.3572367727
cons_cnt0_ratio_wk,3.3273760899
cons_cnt22_ratio_wk,3.3262542039
wk_ratio3,3.3243233979
cons_num5_ratio_we,3.3040728657
cons_cnt0_ratio,3.2945263657
we_z3,3.2756202524
time22_z3,3.2637787177
wk_z3,3.2629675284
cons_time0_ratio_wk,3.2549379801
p_v_.22,3.1995323502
time5_z2,3.1958117317
wk_z,3.1885216984
time0_z2_wk,3.1449749666
cons_num5_ratio,3.1317781053
cons_cnt5_ratio_we,3.1074274121
time22_z2_wk,3.1012187565
time0_z3_wk,3.0705012201
time0_z2,2.9499787006
cons_num0_ratio_wk,2.9217725598
time0_z_wk,2.9191970141
time0_z,2.9035970584
time0_z3,2.8798075719
cons_time0_ratio,2.8613588695
time22_z2,2.8354185133
횟수비율_학문,2.6794301498
cons_num0_ratio,2.5947044985
시간비율_학문,2.5434086306
n_v_.6,2.4736285466
소모시간_학문,2.0997658467
s_prt_min,1.998958019
time_pat_wk유형없음,1.9607632169
day_pat1유형없음,1.9410429127
day_pat3유형없음,1.8924688742
횟수_학문,1.8654957668
time_pat_we유형없음,1.7955494533
time_pat2_wk유형없음,1.785560243
time_pat3_we유형없음,1.7683850762
