CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1935,1,0,1,0,21,8220,211,600,2.6218678815,1291.6537585,4.3872437358,504.44540645,2,1162,2,587.5,2.5683488239,1178.9152658,13.933318742,181.14782284
1936,1,0,1,0,51,6698,294,110.75,8.8090452261,811.15577889,40.949748744,20.296031918,6,333,22,14.222222222,8.6663006096,1146.7147281,48.921783455,20.813185487
1937,1,0,1,0,30,8892,345,124.33333333,6.2780748663,712.3368984,29.155080214,21.594020663,4,263,15,14.7,5.5092981555,1220.5850258,43.510875088,21.715312358
1938,1,1,1,0.083333333333,52,12289,889,70.631578947,10.551886792,2481.2924528,177.71226415,14.10707583,9,1854,143,13.466426193,7.555446502,2044.3893548,132.50313254,6.7659521728
1939,1,0,1,0,45,23396,345,409.33333333,8.2115384615,1267.6089744,48.259615385,31.074516708,6,700,31,19.603571429,7.3234939875,2015.7530107,56.606953408,46.946780002
1940,1,0,1,0,47,10221,359,164.75,8.2455357143,947.48660714,43.674107143,19.129677947,5.5,419,23,13.129120879,7.6455959174,1476.1001612,58.330556792,22.654162334
1941,1,0,1,0,49,17504,460,217.33333333,9.8571428571,1879.3333333,67.849206349,32.634434284,7.5,1255.5,41,28.130952381,9.0123547654,2152.3925741,76.244528766,23.803056382
1942,1,0,1,0,132,17528,739,141,30.951456311,3536.0776699,167.5631068,20.988338303,26,2615,139,19.092944185,24.468348351,3545.9510436,149.80352465,14.814216206
1943,1,0,1,0,36,24827,711,216.5,8.8853754941,1324.5533597,55.95256917,28.101099979,7,935,33,22.467741935,6.9823120884,2048.9707313,89.00770055,26.887048535
1944,1,0,1,0,43,6774,203,221,5.4363636364,528.14909091,18.094545455,22.507034771,4,239,14,17.272727273,4.7104621729,838.46245033,20.062270015,24.805987311
1945,1,0,1,0,202,67006,1352,103.63157895,34.789808917,6611.1082803,216.43312102,30.312225229,34,5280,181,28.808370044,27.438984023,7395.9470282,196.80291697,16.054660806
1946,1,0,1,0,69,12964,642,263.33333333,12.093360996,1383.973029,39.485477178,46.016435935,9,930.5,22,37.523809524,10.091143763,1596.2271895,55.390963454,35.749270636
1947,1,0,1,0,158,23396,781,280.5,38.802083333,5767.25,194.63541667,31.715017428,28,4523,142.5,28.707736732,31.221760364,5402.292206,170.82434074,24.406953563
1948,1,0,1,0,67,23400,505,219.6,9.7517730496,901.85460993,45.226950355,15.8364899,5,138.5,15,9.4521119182,12.602974302,2077.6050123,72.859184498,21.055198551
1949,1,1,1,0.1,125,24736,647,140.91964286,31.421686747,4908.7951807,189.08433735,26.941709696,32.5,3829,179.5,21.138510466,21.132264851,4482.288023,132.83853994,21.478832345
1950,1,0,1,0,16,3352,207,352.5,2.6324110672,272.55335968,8.5612648221,27.967348567,1,60,2,13,2.6791480443,519.9773138,18.647768963,39.260690173
1951,1,0,1,0,171,32001,1847,176.33333333,24.125423729,3450.020339,114.68474576,30.918699058,18,2143,72,29.501858736,21.34096053,4031.2092672,146.24178192,19.714172411
1952,1,0,1,0,26,4267,121,448,4.6780487805,410.74634146,11.241463415,40.117218082,4,222.5,7,29.996315789,4.0653291169,558.16868659,13.424887949,44.976462451
1953,1,0,1,0,39,8689,262,166,8.9084507042,1529.028169,53.126760563,30.596287982,7,1010.5,36.5,25.712314225,7.3377532743,1640.6751505,51.743483388,23.68501835
